company_name,parent_link,company_linkedin,cofounder_count,investment_manager_count,cofounders_name,cofounders_linkedin,investment_managers,cofounders_json,investment_managers_json,error
Freya,https://212.vc/freya/,https://www.linkedin.com/company/freyavoice/,2,1,Tunga Bayrak | Tomas Nepala,https://www.linkedin.com/in/tunga-bayrak | https://www.linkedin.com/in/tomas-nepala,Kıvanç Aydın,"[{""name"": ""Tunga Bayrak"", ""linkedin"": ""https://www.linkedin.com/in/tunga-bayrak""}, {""name"": ""Tomas Nepala"", ""linkedin"": ""https://www.linkedin.com/in/tomas-nepala""}]","[""Kıvanç Aydın""]",
Getmobil,https://212.vc/getmobil/,https://www.linkedin.com/company/getmobil?originalSubdomain=tr/,1,1,Mehmet Uygun,https://www.linkedin.com/in/mehmetuygun,Cem Okay,"[{""name"": ""Mehmet Uygun"", ""linkedin"": ""https://www.linkedin.com/in/mehmetuygun""}]","[""Cem Okay""]",
Haelixa,https://212.vc/haelixa/,https://www.linkedin.com/company/haelixa/,1,1,Gediminas Mikutis,https://www.linkedin.com/in/gmikutis,Caglar Urcan,"[{""name"": ""Gediminas Mikutis"", ""linkedin"": ""https://www.linkedin.com/in/gmikutis""}]","[""Caglar Urcan""]",
Hazinem,https://212.vc/hazinem/,https://www.linkedin.com/company/hazinem/,0,0,,,,[],[],
Hemenkiralik,https://212.vc/hemenkiralik/,https://www.linkedin.com/company/hemenkiralik/,0,0,,,,[],[],
Hotelrunner,https://212.vc/hotelrunner/,https://www.linkedin.com/company/hotelrunner/,2,1,Arden Agopyan | Ali Beklen,https://www.linkedin.com/in/ardenagopyan | https://www.linkedin.com/in/alibeklen,Selma Bahçıvanoğlu,"[{""name"": ""Arden Agopyan"", ""linkedin"": ""https://www.linkedin.com/in/ardenagopyan""}, {""name"": ""Ali Beklen"", ""linkedin"": ""https://www.linkedin.com/in/alibeklen""}]","[""Selma Bahçıvanoğlu""]",
Insider One,https://212.vc/insider-one/,https://www.linkedin.com/company/insiderone/,1,1,Hande Cilingir,https://www.linkedin.com/in/hande-cilingir,Ali Karabey,"[{""name"": ""Hande Cilingir"", ""linkedin"": ""https://www.linkedin.com/in/hande-cilingir""}]","[""Ali Karabey""]",
Juphy,https://212.vc/juphy/,https://www.linkedin.com/company/juphy/,1,1,Alara Eren Iplikcioglu,https://www.linkedin.com/in/alara-eren,Selma Bahcivanoglu,"[{""name"": ""Alara Eren Iplikcioglu"", ""linkedin"": ""https://www.linkedin.com/in/alara-eren""}]","[""Selma Bahcivanoglu""]",
Keyrails,https://212.vc/keyrails/,https://www.linkedin.com/company/keyrails/,1,1,Berhan Kongel,https://www.linkedin.com/in/berhankongel,Ali Karabey,"[{""name"": ""Berhan Kongel"", ""linkedin"": ""https://www.linkedin.com/in/berhankongel""}]","[""Ali Karabey""]",
Khenda,https://212.vc/khenda/,https://www.linkedin.com/company/khenda/,1,1,Cagkan Ekici,https://www.linkedin.com/in/cagkanekici,Selma Bahcivanoglu,"[{""name"": ""Cagkan Ekici"", ""linkedin"": ""https://www.linkedin.com/in/cagkanekici""}]","[""Selma Bahcivanoglu""]",
